location,num_schools,num_students,student_home,people_home,num_offices,people_work,avg_income
Paya Lebar,41,51820,44150,212900,3,50609,2382.65
Serangoon,52,62530,60190,282380,3,50609,2452.21
Bishan,26,57600,42740,207120,1,16870,2368.52
Punggol,17,20100,114110,301330,1,16870,2402.87
Tampines,34,60660,65100,325670,6,101217,2399.25
CBD,6,16710,1020,4820,53,894087,2261.85
Woodlands,50,70040,127590,443850,1,16870,2367.31
Jurong,39,59970,43840,189140,15,253043,2343.79
Tuas,1,23000,56690,208190,0,0,2373.00
Buona Vista,20,74900,34190,154570,22,371130,2313.47
Tiong Bahru,6,6840,26160,127690,12,202435,2290.22
CCK,42,56380,89180,319390,0,0,2446.40
Toa Payoh,15,21160,30060,139810,0,0,2354.37
Town,1,1220,11140,43550,21,354261,2423.58
